                             title                             | count 
 X-Men: Apocalypse                                             |     3
 Wanted                                                        |     3
 Diary of a Wimpy Kid: Dog Days                                |     2
 Movie 43                                                      |     2
 Incendies                                                     |     3
 Viking                                                        |     3
 Paint It Black                                                |     1
 The Daughter                                                  |     1
 Green Room                                                    |     3
 Megamind                                                      |     3
 Sucker Punch                                                  |     2
 Shame                                                         |     1
 Eye in the Sky                                                |     3
 Iron Man Three                                                |     3
 The Lost City of Z                                            |     3
 Aliens vs Predator - Requiem                                  |     3
 Taken                                                         |     2
 Jane Eyre                                                     |     2
 Gran Torino                                                   |     1
 The Grand Budapest Hotel                                      |     3
 Immortals                                                     |     3
 Taare Zameen Par                                              |     3
 Divergent                                                     |     3
 Get Hard                                                      |     2
 The Road                                                      |     2
 RoboCop                                                       |     3
 Below Her Mouth                                               |     1
 The Maze Runner                                               |     3
 The Stakelander                                               |     2
 Vacation                                                      |     2
 Elysium                                                       |     3
 The 9th Life of Louis Drax                                    |     2
 Room                                                          |     1
 Srpski film                                                   |     3
 The Break-Up                                                  |     3
 Moana                                                         |     3
 Hush                                                          |     2
 The Headhunter's Calling                                      |     1
 Detour                                                        |     1
 Cinderella                                                    |     3
 Step Up 2: The Streets                                        |     3
 Pacific Rim                                                   |     3
 Nocturnal Animals                                             |     2
 Solace                                                        |     3
 Turbo Kid                                                     |     3
 The Neighbor                                                  |     3
 Sex and the City                                              |     3
 She's the Man                                                 |     3
 Toni Erdmann                                                  |     2
 Doctor Strange                                                |     3
 The Man from U.N.C.L.E.                                       |     3
 Filth                                                         |     3
 Nymphomaniac: Vol. I                                          |     1
 The Purge                                                     |     3
 Pineapple Express                                             |     3
 The Adjustment Bureau                                         |     3
 The Da Vinci Code                                             |     2
 Midnight in Paris                                             |     3
 Taken 3                                                       |     2
 Bacalaureat                                                   |     2
 Triple 9                                                      |     3
 Avatar                                                        |     3
 The Mortal Instruments: City of Bones                         |     3
 We Are Your Friends                                           |     3
 Jack Ryan: Shadow Recruit                                     |     3
 The Accountant                                                |     3
 Superman Returns                                              |     3
 Bronson                                                       |     3
 P.S. I Love You                                               |     2
 Thor                                                          |     3
 The Host                                                      |     3
 Oz the Great and Powerful                                     |     3
 The Nice Guys                                                 |     3
 Horrible Bosses 2                                             |     2
 The Golden Compass                                            |     3
 The Perks of Being a Wallflower                               |     2
 28 Weeks Later                                                |     3
 Prometheus                                                    |     3
 The Black Room                                                |     1
 John Wick                                                     |     3
 Exposed                                                       |     3
 Office Christmas Party                                        |     1
 Dangal                                                        |     3
 Resident Evil: Afterlife                                      |     3
 Handsome Devil                                                |     1
 Underworld: Blood Wars                                        |     3
 Personal Shopper                                              |     3
 The Hunger Games: Mockingjay - Part 1                         |     3
 La tortue rouge                                               |     2
 Into the Forest                                               |     3
 The Kings of Summer                                           |     3
 A Monster Calls                                               |     2
 Paterson                                                      |     3
 The Wolf of Wall Street                                       |     3
 Keeping Up with the Joneses                                   |     2
 Angry Birds                                                   |     3
 Spring Breakers                                               |     1
 Zombieland                                                    |     3
 District 9                                                    |     3
 Kung Fu Panda 3                                               |     3
 Big Hero 6                                                    |     3
 Rise of the Planet of the Apes                                |     3
 The Babysitters                                               |     1
 Planet Terror                                                 |     3
 The Assignment                                                |     3
 Neighbors 2: Sorority Rising                                  |     1
 Mr. Brooks                                                    |     3
 Brooklyn                                                      |     2
 Life of Pi                                                    |     3
 Lights Out                                                    |     1
 Before We Go                                                  |     3
 Friend Request                                                |     2
 Mother's Day                                                  |     2
 Selma                                                         |     3
 Why Him?                                                      |     1
 Unbroken                                                      |     3
 A Walk Among the Tombstones                                   |     3
 Prince of Persia: The Sands of Time                           |     3
 What We Do in the Shadows                                     |     3
 Sleight                                                       |     3
 Contagion                                                     |     2
 Gone Baby Gone                                                |     3
 Centurion                                                     |     3
 Riddick                                                       |     3
 Mission: Impossible III                                       |     3
 Man Down                                                      |     2
 Conan the Barbarian                                           |     3
 Melancholia                                                   |     1
 It Follows                                                    |     2
 The Legend of Tarzan                                          |     3
 The Girl Next Door                                            |     3
 Crimson Peak                                                  |     3
 3 Idiots                                                      |     2
 Red Dawn                                                      |     2
 Harry Potter and the Deathly Hallows: Part 2                  |     3
 Dark Places                                                   |     3
 Ah-ga-ssi                                                     |     3
 Transformers: Dark of the Moon                                |     3
 The Boy                                                       |     3
 Southpaw                                                      |     2
 Superbad                                                      |     1
 Secret in Their Eyes                                          |     3
 Brave                                                         |     3
 The Three Musketeers                                          |     3
