 movie_id | genre_id 
      234 |        3
      234 |        5
      234 |        8
      235 |        3
      235 |        8
      235 |       13
      236 |       11
      236 |       13
      237 |       10
      237 |       13
      237 |       19
      238 |        1
      238 |        5
      238 |       13
      239 |        7
      239 |        8
      239 |       13
      240 |        3
      240 |        8
      240 |       11
      241 |        3
      241 |       13
      241 |       20
      242 |        7
      242 |        8
      242 |       18
      243 |        7
      243 |        8
      243 |       18
      244 |        3
      244 |        8
      244 |       17
      245 |        6
      245 |        8
      245 |       12
      246 |       11
      246 |       13
      246 |       16
      247 |        5
      247 |       13
      247 |       17
      248 |        7
      248 |       13
      249 |        3
      249 |        7
      249 |        9
      250 |        7
      250 |       13
      250 |       19
      251 |        7
      251 |       11
      251 |       13
      252 |        5
      252 |       13
      253 |       10
      253 |       13
      253 |       19
      254 |        3
      254 |        8
      254 |       17
      255 |        1
      255 |        4
      255 |        5
      256 |        7
      257 |        3
      257 |        8
      257 |       17
      258 |        3
      258 |       13
      258 |       17
      259 |        1
      260 |        5
      260 |       13
      261 |        7
      261 |       11
      261 |       13
      262 |        5
      262 |       13
      263 |        7
      263 |       13
      264 |       13
      265 |        3
      265 |        7
      265 |        8
      266 |        1
      266 |        5
      266 |       13
      267 |        7
      268 |       13
      268 |       17
      269 |        3
      269 |        8
      269 |       17
      270 |        1
      271 |        3
      271 |        5
      271 |        8
      272 |        8
      272 |       12
      273 |        3
      273 |        7
      273 |        9
      274 |        7
      274 |       13
      274 |       14
      275 |        7
      275 |        8
      275 |       18
      276 |        3
      276 |        4
      276 |        8
      277 |        3
      277 |        7
      277 |        9
      278 |        9
      278 |       10
      278 |       13
      279 |        7
      280 |        3
      280 |        8
      280 |       17
      281 |        4
      281 |        5
      281 |        9
      282 |        3
      282 |        8
      282 |        9
      283 |        5
      284 |       11
      284 |       13
      284 |       19
      285 |        3
      285 |        8
      286 |        3
      286 |       12
      287 |        3
      287 |        7
      288 |        3
      288 |        8
      288 |       17
      289 |        3
      289 |        7
      289 |        9
      290 |        5
      291 |        1
      291 |        3
      291 |       13
      292 |        7
      292 |       11
      292 |       14
      293 |        7
      294 |       13
      295 |        3
      295 |        8
      295 |       12
      296 |       11
      296 |       13
