  id  |                             title                             |                                                                                                                                                                                                              description                                                                                                                                                                                                              | runtime | revenue | review_id | director_id | time_id 
  935 | The Love Witch                                                | A modern-day witch uses spells and magic to get men to fall in love with her.                                                                                                                                                                                                                                                                                                                                                         |     120 |    0.22 |       935 |         401 |      11
  992 | Taare Zameen Par                                              | An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.                                                                                                                                                                                                                                                   |     165 |     1.2 |       992 |         264 |       2
  312 | La vie d'Adèle                                                | Adèle's life is changed when she meets Emma, a young woman with blue hair, who will allow her to discover desire and to assert herself as a woman and as an adult. In front of others, Adèle grows, seeks herself, loses herself, and ultimately finds herself through love and loss.                                                                                                                                                 |     180 |     2.2 |       312 |         259 |       8
  784 | Tramps                                                        | A young man and woman find love in an unlikely place while carrying out a shady deal.                                                                                                                                                                                                                                                                                                                                                 |      82 |         |       784 |         238 |      11
  470 | The Other Guys                                                | Two mismatched New York City detectives seize an opportunity to step up like the city's top cops whom they idolize -- only things don't quite go as planned.                                                                                                                                                                                                                                                                          |     107 |  119.22 |       470 |         611 |       5
  143 | The Big Short                                                 | Four denizens in the world of high-finance predict the credit and housing bubble collapse of the mid-2000s, and decide to take on the big banks for their greed and lack of foresight.                                                                                                                                                                                                                                                |     130 |   70.24 |       143 |         611 |      10
  936 | Talladega Nights: The Ballad of Ricky Bobby                   | #1 NASCAR driver Ricky Bobby stays atop the heap thanks to a pact with his best friend and teammate, Cal Naughton, Jr. But when a French Formula One driver, makes his way up the ladder, Ricky Bobby's talent and devotion are put to the test.                                                                                                                                                                                      |     108 |  148.21 |       936 |         611 |       1
  361 | Step Brothers                                                 | Two aimless middle-aged losers still living at home are forced against their will to become roommates when their parents marry.                                                                                                                                                                                                                                                                                                       |      98 |  100.47 |       361 |         611 |       3
  973 | Rock of Ages                                                  | A small town girl and a city boy meet on the Sunset Strip, while pursuing their Hollywood dreams.                                                                                                                                                                                                                                                                                                                                     |     123 |   38.51 |       973 |         458 |       7
  487 | Hairspray                                                     | Pleasantly plump teenager Tracy Turnblad teaches 1962 Baltimore a thing or two about integration after landing a spot on a local TV dance show.                                                                                                                                                                                                                                                                                       |     117 |  118.82 |       487 |         458 |       2
  724 | Blair Witch                                                   | After discovering a video showing what he believes to be his vanished sister Heather, James and a group of friends head to the forest believed to be inhabited by the Blair Witch.                                                                                                                                                                                                                                                    |      89 |   20.75 |       724 |         396 |      11
  730 | The Guest                                                     | A soldier introduces himself to the Peterson family, claiming to be a friend of their son who died in action. After the young man is welcomed into their home, a series of accidental deaths seem to be connected to his presence.                                                                                                                                                                                                    |     100 |    0.32 |       730 |         396 |       9
  840 | Maudie                                                        | An arthritic Nova Scotia woman works as a housekeeper while she hones her skills as an artist and eventually becomes a beloved figure in the community.                                                                                                                                                                                                                                                                               |     115 |         |       840 |          56 |      11
  197 | Hacker                                                        | With the help of his new friends Alex Danyliuk turns to a life of crime and identity theft.                                                                                                                                                                                                                                                                                                                                           |      95 |         |       197 |          86 |      11
  654 | Popstar: Never Stop Never Stopping                            | When it becomes clear that his solo album is a failure, a former boy band member does everything in his power to maintain his celebrity status.                                                                                                                                                                                                                                                                                       |      87 |    9.39 |       654 |         188 |      11
  215 | Thor: The Dark World                                          | When Dr. Jane Foster gets cursed with a powerful entity known as the Aether, Thor is heralded of the cosmic event known as the Convergence and the genocidal Dark Elves.                                                                                                                                                                                                                                                              |     112 |  206.36 |       215 |         243 |       8
  244 | Terminator Genisys                                            | When John Connor, leader of the human resistance, sends Sgt. Kyle Reese back to 1984 to protect Sarah Connor and safeguard the future, an unexpected turn of events creates a fractured timeline.                                                                                                                                                                                                                                     |     126 |   89.73 |       244 |         243 |      10
  492 | The Book of Eli                                               | A post-apocalyptic tale, in which a lone man fights his way across America in order to protect a sacred book that holds the secrets to saving humankind.                                                                                                                                                                                                                                                                              |     118 |   94.82 |       492 |          80 |       5
  667 | Regression                                                    | A detective and a psychoanalyst uncover evidence of a satanic cult while investigating the rape of a young woman.                                                                                                                                                                                                                                                                                                                     |     106 |    0.05 |       667 |          72 |      10
  261 | Birdman or (The Unexpected Virtue of Ignorance)               | Illustrated upon the progress of his latest Broadway play, a former popular actor's struggle to cope with his current life as a wasted actor is shown.                                                                                                                                                                                                                                                                                |     119 |   42.34 |       261 |         158 |       9
  130 | The Revenant                                                  | A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.                                                                                                                                                                                                                                                                        |     156 |  183.64 |       130 |         158 |      10
  886 | Babel                                                         | Tragedy strikes a married couple on vacation in the Moroccan desert, touching off an interlocking story involving four different families.                                                                                                                                                                                                                                                                                            |     143 |    34.3 |       886 |         158 |       1
  604 | Kung Fu Panda 3                                               | Continuing his "legendary adventures of awesomeness", Po must face two hugely epic, but different threats: one supernatural and the other a little closer to his home.                                                                                                                                                                                                                                                                |      95 |  143.52 |       604 |         571 |      11
  952 | The Descendants                                               | A land baron tries to reconnect with his two daughters after his wife is seriously injured in a boating accident.                                                                                                                                                                                                                                                                                                                     |     115 |   82.62 |       952 |         233 |       6
  866 | Horns                                                         | In the aftermath of his girlfriend's mysterious death, a young man awakens to find strange horns sprouting from his temples.                                                                                                                                                                                                                                                                                                          |     120 |    0.16 |       866 |         534 |       8
  859 | The Hills Have Eyes                                           | A suburban American family is being stalked by a group of psychotic people who live in the desert, far away from civilization.                                                                                                                                                                                                                                                                                                        |     107 |   41.78 |       859 |         534 |       1
  865 | The 9th Life of Louis Drax                                    | A psychologist who begins working with a young boy who has suffered a near-fatal fall finds himself drawn into a mystery that tests the boundaries of fantasy and reality.                                                                                                                                                                                                                                                            |     108 |         |       865 |         534 |      11
  889 | Piranha 3D                                                    | After a sudden underwater tremor sets free scores of the prehistoric man-eating fish, an unlikely group of strangers must band together to stop themselves from becoming fish food for the area's new razor-toothed residents.                                                                                                                                                                                                        |      88 |      25 |       889 |         534 |       5
